,0
0,1
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,2
12,3
13,3
14,3
15,3
16,3
17,3
18,4
19,4
20,4
21,4
22,4
23,4
24,5
25,5
26,5
27,5
28,5
29,5
30,6
31,6
32,6
33,6
34,6
35,6
36,7
37,7
38,7
39,7
40,7
41,7
42,8
43,8
44,8
45,8
46,8
47,8
48,9
49,9
50,9
51,9
52,9
53,9
54,10
55,10
56,10
57,10
58,10
59,10
60,11
61,11
62,11
63,11
64,11
65,11
66,12
67,12
68,12
69,12
70,12
71,12
72,13
73,13
74,13
75,13
76,13
77,13
78,14
79,14
80,14
81,14
82,14
83,14
84,15
85,15
86,15
87,15
88,15
89,15
90,16
91,16
92,16
93,16
94,16
95,16
96,17
97,17
98,17
99,17
100,17
101,17
102,18
103,18
104,18
105,18
106,18
107,18
108,19
109,19
110,19
111,19
112,19
113,19
114,20
115,20
116,20
117,20
118,20
119,20
120,21
121,21
122,21
123,21
124,21
125,21
126,22
127,22
128,22
129,22
130,22
131,22
132,23
133,23
134,23
135,23
136,23
137,23
138,24
139,24
140,24
141,24
142,24
143,24
144,25
145,25
146,25
147,25
148,25
149,25
150,26
151,26
152,26
153,26
154,26
155,26
156,27
157,27
158,27
159,27
160,27
161,27
162,28
163,28
164,28
165,28
166,28
167,28
168,29
169,29
170,29
171,29
172,29
173,29
174,30
175,30
176,30
177,30
178,30
179,30
180,31
181,31
182,31
183,31
184,31
185,31
186,32
187,32
188,32
189,32
190,32
191,32
